Layer,FloorplanFile,Thickness (m),PtraceFile,LateralHeatFlow
0,gpu_substrate_flp.csv,1.00e-04,gpu_substrate_ptrace.csv,True
1,gpu_feol_flp.csv,2.00e-06,gpu_feol_ptrace.csv,True
2,gpu_beol_flp.csv,8.00e-06,gpu_beol_ptrace.csv,True
3,ubump_flp.csv,1.50e-05,ubump_ptrace.csv,True
4,nv_tier_flp.csv,4.00e-05,nv_tier_ptrace.csv,True
5,daf_flp.csv,5.00e-06,daf_ptrace.csv,True
6,nv_tier_flp.csv,4.00e-05,nv_tier_ptrace.csv,True
7,daf_flp.csv,5.00e-06,daf_ptrace.csv,True
8,nv_tier_flp.csv,4.00e-05,nv_tier_ptrace.csv,True
9,daf_flp.csv,5.00e-06,daf_ptrace.csv,True
10,nv_tier_flp.csv,4.00e-05,nv_tier_ptrace.csv,True
11,daf_flp.csv,5.00e-06,daf_ptrace.csv,True
12,dram_tier_flp.csv,5.00e-05,dram_tier_ptrace.csv,True
13,daf_flp.csv,5.00e-06,daf_ptrace.csv,True
14,dram_tier_flp.csv,5.00e-05,dram_tier_ptrace.csv,True
15,daf_flp.csv,5.00e-06,daf_ptrace.csv,True
16,dram_tier_flp.csv,5.00e-05,dram_tier_ptrace.csv,True
17,daf_flp.csv,5.00e-06,daf_ptrace.csv,True
18,dram_tier_flp.csv,5.00e-05,dram_tier_ptrace.csv,True
19,daf_flp.csv,5.00e-06,daf_ptrace.csv,True
20,dram_tier_flp.csv,5.00e-05,dram_tier_ptrace.csv,True
21,daf_flp.csv,5.00e-06,daf_ptrace.csv,True
22,dram_tier_flp.csv,5.00e-05,dram_tier_ptrace.csv,True
23,daf_flp.csv,5.00e-06,daf_ptrace.csv,True
24,dram_tier_flp.csv,5.00e-05,dram_tier_ptrace.csv,True
25,daf_flp.csv,5.00e-06,daf_ptrace.csv,True
26,dram_tier_flp.csv,5.00e-05,dram_tier_ptrace.csv,True
